kecamatan,pernah_imunisasi_bcg,jenis_kelamin,jumlah
Bandung Kulon,Ya,Laki-laki,8855
Babakan Ciparay,Ya,Laki-laki,3744
Bojongloa Kaler,Ya,Laki-laki,2303
Bojongloa Kidul,Ya,Laki-laki,5213
Astana Anyar,Ya,Laki-laki,946
Regol,Ya,Laki-laki,2331
Lengkong,Ya,Laki-laki,1850
Bandung Kidul,Ya,Laki-laki,1525
Buah Batu,Ya,Laki-laki,2347
Rancasari,Ya,Laki-laki,2905
Gedebage,Ya,Laki-laki,1159
Cibiru,Ya,Laki-laki,2169
Panyileukan,Ya,Laki-laki,660
Ujung Berung,Ya,Laki-laki,2499
Cinambo,Ya,Laki-laki,448
Arcamanik,Ya,Laki-laki,1516
Antapani,Ya,Laki-laki,1580
Mandalajati,Ya,Laki-laki,2585
Kiara Condong,Ya,Laki-laki,2466
Batununggal,Ya,Laki-laki,2088
Sumur Bandung,Ya,Laki-laki,537
Andir,Ya,Laki-laki,4762
Cicendo,Ya,Laki-laki,2100
Bandung Wetan,Ya,Laki-laki,715
Cibeunying Kidul,Ya,Laki-laki,1860
Cibeunying Kaler,Ya,Laki-laki,458
Coblong,Ya,Laki-laki,6624
Sukajadi,Ya,Laki-laki,2545
Sukasari,Ya,Laki-laki,2745
Cidadap,Ya,Laki-laki,2064
Bandung Kulon,Tidak,Laki-laki,0
Babakan Ciparay,Tidak,Laki-laki,778
Bojongloa Kaler,Tidak,Laki-laki,607
Bojongloa Kidul,Tidak,Laki-laki,147
Astana Anyar,Tidak,Laki-laki,0
Regol,Tidak,Laki-laki,213
Lengkong,Tidak,Laki-laki,0
Bandung Kidul,Tidak,Laki-laki,0
Buah Batu,Tidak,Laki-laki,0
Rancasari,Tidak,Laki-laki,216
Gedebage,Tidak,Laki-laki,133
Cibiru,Tidak,Laki-laki,0
Panyileukan,Tidak,Laki-laki,0
Ujung Berung,Tidak,Laki-laki,407
Cinambo,Tidak,Laki-laki,0
Arcamanik,Tidak,Laki-laki,174
Antapani,Tidak,Laki-laki,0
Mandalajati,Tidak,Laki-laki,0
Kiara Condong,Tidak,Laki-laki,0
Batununggal,Tidak,Laki-laki,226
Sumur Bandung,Tidak,Laki-laki,0
Andir,Tidak,Laki-laki,0
Cicendo,Tidak,Laki-laki,0
Bandung Wetan,Tidak,Laki-laki,0
Cibeunying Kidul,Tidak,Laki-laki,374
Cibeunying Kaler,Tidak,Laki-laki,0
Coblong,Tidak,Laki-laki,1061
Sukajadi,Tidak,Laki-laki,0
Sukasari,Tidak,Laki-laki,0
Cidadap,Tidak,Laki-laki,235
Bandung Kulon,Ya,Perempuan,4437
Babakan Ciparay,Ya,Perempuan,3588
Bojongloa Kaler,Ya,Perempuan,2221
Bojongloa Kidul,Ya,Perempuan,3011
Astana Anyar,Ya,Perempuan,1533
Regol,Ya,Perempuan,1276
Lengkong,Ya,Perempuan,2693
Bandung Kidul,Ya,Perempuan,1013
Buah Batu,Ya,Perempuan,5007
Rancasari,Ya,Perempuan,2855
Gedebage,Ya,Perempuan,1123
Cibiru,Ya,Perempuan,3586
Panyileukan,Ya,Perempuan,837
Ujung Berung,Ya,Perempuan,2767
Cinambo,Ya,Perempuan,538
Arcamanik,Ya,Perempuan,2206
Antapani,Ya,Perempuan,2548
Mandalajati,Ya,Perempuan,1133
Kiara Condong,Ya,Perempuan,3186
Batununggal,Ya,Perempuan,1898
Sumur Bandung,Ya,Perempuan,652
Andir,Ya,Perempuan,2173
Cicendo,Ya,Perempuan,3669
Bandung Wetan,Ya,Perempuan,533
Cibeunying Kidul,Ya,Perempuan,1847
Cibeunying Kaler,Ya,Perempuan,960
Coblong,Ya,Perempuan,2567
Sukajadi,Ya,Perempuan,1084
Sukasari,Ya,Perempuan,1577
Cidadap,Ya,Perempuan,1793
Bandung Kulon,Tidak,Perempuan,0
Babakan Ciparay,Tidak,Perempuan,432
Bojongloa Kaler,Tidak,Perempuan,334
Bojongloa Kidul,Tidak,Perempuan,0
Astana Anyar,Tidak,Perempuan,0
Regol,Tidak,Perempuan,0
Lengkong,Tidak,Perempuan,0
Bandung Kidul,Tidak,Perempuan,0
Buah Batu,Tidak,Perempuan,0
Rancasari,Tidak,Perempuan,0
Gedebage,Tidak,Perempuan,224
Cibiru,Tidak,Perempuan,0
Panyileukan,Tidak,Perempuan,0
Ujung Berung,Tidak,Perempuan,0
Cinambo,Tidak,Perempuan,0
Arcamanik,Tidak,Perempuan,0
Antapani,Tidak,Perempuan,0
Mandalajati,Tidak,Perempuan,379
Kiara Condong,Tidak,Perempuan,0
Batununggal,Tidak,Perempuan,0
Sumur Bandung,Tidak,Perempuan,0
Andir,Tidak,Perempuan,0
Cicendo,Tidak,Perempuan,138
Bandung Wetan,Tidak,Perempuan,0
Cibeunying Kidul,Tidak,Perempuan,0
Cibeunying Kaler,Tidak,Perempuan,827
Coblong,Tidak,Perempuan,0
Sukajadi,Tidak,Perempuan,128
Sukasari,Tidak,Perempuan,0
Cidadap,Tidak,Perempuan,0
