NO,KODE,LINTASAN TRAYEK,JARAK,JUMLAH KENDARAAN
1,2,Abdul Muis – Dago ,9.3,271
2,3,Abdul Muis – Ledeng ,16,245
3,4,Abdul Muis – Elang ,9.75,101
4,5,Cicaheum – Ledeng ,14.25,214
5,6,Cicaheum – Ciroyom,17,206
6,7,Cicaheum – Ciwastra – Derwati ,17,200
7,8,Cicaheum – Cibaduyut ,16.1,150
8,9,Stasiun Hall – Dago ,10,52
9,10,Stasiun Hall – Sadang Serang ,11,150
10,12,Stasiun Hall – Gede Bage ,21,200
11,13,Stasiun Hall – Sarijadi ,10.2,80
12,14,Stasiun Hall – Gunung Batu ,8.5,53
13,15,Margahayu Raya – Ledeng ,19.8,125
14,16,Dago – Riung Bandung ,20.6,201
15,17,Pasar Induk Caringin – Dago ,19.85,140
16,18,Panghegar Permai – Dipati Ukur – Dago ,19.35,155
17,20,Ciroyom – Bumi Asri ,8.35,115
18,21,Ciroyom – Cikudapateuh ,12.9,140
19,22,Sederhana – Cipagalo ,16.05,276
20,23,Sederhana – Cijerah ,8.9,63
21,24,Sederhana – Cimindi ,9,55
22,25,Ciwastra – Ujung Berung ,13.4,32
23,26,Cisitu – Tegallega ,13.95,82
24,27,Cijerah – Ciwastra – Derwati,22.3,200
25,28,Elang – Gede Bage – Ujung Berung,22.45,115
26,29,Abdul Muis – Mengger,10.55,25
27,30,Cicadas – Elang,18.05,300
28,31,Antapani – Ciroyom ,13.7,160
29,32,Cicadas – Cibiru – Panyileukan ,13.65,200
30,33,Bumi Panyileukan – Sekemirung ,24.35,125
31,34,Sadang Serang – Caringin ,18.1,200
32,35,Cibaduyut – Karang Setra ,16.6,201
33,36,Cibogo – Elang ,7,32
34,1.A,Abdul Muis – Cicaheum Via Binong ,16.3,355
35,1.B,Abdul Muis – Cicaheum Via Aceh ,11.55,100
36,11.A,Stasiun Hall – Ciumbuleuit Via Eykman ,9.8,53
37,11.B,Stasiun Hall – Ciumbuleuit Via Cihampelas ,8.3,30
38,19.A,Ciroyom – Sarijadi Via Sukajadi,11.75,88
39,19.B,Ciroyom – Sarijadi Via Setrasari,10.75,31
