NO,LOKASI,KELURAHAN,NAMA PENGELOLA
1,Jl. Banjirsari, Rt. 02/ Rw. 02,SUKAMISKIN,XL
2,Jl. Sembrani, Rt. 01/ Rw. 06,SUKAMISKIN,INDOSAT
3,Pacuan Kuda, Rt. 02/ Rw. 06,SUKAMISKIN,XL
4,Jl. Pacuan Kuda, Rt. 07/ Rw. 08,SUKAMISKIN,INDOSAT
5,Jl. Ters. Pasantren, Rt. 01/ Rw. 11,SUKAMISKIN,TELKOMSEL
6,Jl. Ters. Pasantren, Rt. 05/ Rw. 11,SUKAMISKIN,TELKOMSEL
7,Jl. Ters. Pasantren, Rt. 04/ Rw. 11,SUKAMISKIN,XL
8,Jl. Atletik I, Rt. 03/ Rw. 13,SUKAMISKIN,FLEKSI
9,Jl. Joging, Rt. 04/ Rw. 13,SUKAMISKIN,TELKOMSEL
10,Jl. Puri ayu, Rt. 02/ Rw. 14,SUKAMISKIN,TELKOMSEL
1,Jl. Pasar Sindanglaya, Rt 01/ Rw 01,CISARANTEN BINAHARAPAN,PT. PANELINDO SAKTI BERSAMA (INDOSAT)
2,Jl. A.H.Nasution, Rw 03 Kantor Pusjatan,CISARANTEN BINAHARAPAN,TELKOMSEL
3,Jl. Pawenang, Rt 03/ Rw 05,CISARANTEN BINAHARAPAN,INDOSAT
4,Jl. Pawenang, Rt 02/ Rw 05,CISARANTEN BINAHARAPAN,XL
5,Jl. Golf Raya, Rt 01/ Rw 11,CISARANTEN BINAHARAPAN,TELKOMSEL
6,Jl. Golf Raya, Rt 02/ Rw 11,CISARANTEN BINAHARAPAN,XL
7,Jl. Cicukang Rt 01/ Rw 08,CISARANTEN BINAHARAPAN,TELKOMSEL
1,Jl. Permata Bumi, Rt 05/ Rw 03,CISARANTEN KULON,INDOSAT
2,Jl. Panca Tengah I, Rt 01/ Rw 05,CISARANTEN KULON,TELKOMSEL
3,Jl. Cingised, Rt 03/ Rw 06,CISARANTEN KULON,XL
4,Jl. Cisaranten Kulon, Rt 04/ Rw 07,CISARANTEN KULON,TELKOMSEL
5,Jl. Rancakasumba, Rt 04/ Rw 07,CISARANTEN KULON,TELKOMSEL
6,Jl. Sumbersari, Rt 05/ Rw. 08,CISARANTEN KULON,XL
7,Jl. Guruminda, Rt 01/ Rw 09,CISARANTEN KULON,TELKOMSEL
8,Jl. Purbasari Elok, Rt 01/ Rw 11,CISARANTEN KULON,INDOSAT
9,Jl. Permata Taman Sari Raya, Rt 01/ Rw 11,CISARANTEN KULON,TELKOMSEL
1,Jl. Ters. Cikajang, Rw 03,CISARANTEN ENDAH,PT. NARAGITA/ TELKOMSEL
2,Jl. Mama Lebe, Rt 02/ Rw 03,CISARANTEN ENDAH,TELKOMSEL
3,Jl. Parakansaat, Rt 02/ Rw 11,CISARANTEN ENDAH,PT. XC LINDO
4,Jl. Parakansaat, Rt 02/ Rw 11,CISARANTEN ENDAH,PT. TELKOMSEL
5,Ruko Gading Regensi, Rw 08,CISARANTEN ENDAH,PT. TELKOMSEL
6,Ruko Gading Regensi, Rw 08,CISARANTEN ENDAH,PT. XC LINDO
