ruas_jalan,panjang_km,status_jalan
Jl. Soekarno-Hatta,18.350,Nasional
Jl. Rajawali Barat,0.970,Nasional
Jl. Nurtanio,1.200,Nasional
Jl. Jendral Sudirman,1.230,Nasional
Jl. Abdul Rahman Saleh,1.040,Nasional
Jl. Pajajaran,1.060,Nasional
Jl. H.O.S Tjokroaminoto,0.710,Nasional
Flyover Pasupati,1.800,Nasional
Jl. Pasteur,0.770,Nasional
Jl. Surapati,1.800,Nasional
Jl. K.H.P Hasan Mustopa,2.372,Nasional
Jl. Raya Sindanglaya,4.185,Nasional
Jl. Raya Ujungberung,2.880,Nasional
Jl. Raya Cipadung,1.450,Nasional
Jl. Cibiru,0.550,Nasional
Jl. Gedebage,0.548,Nasional
Jl. Terusan Buahbatu,0.990,Provinsi
Jl. Terusan Buahbatu 1,1.270,Provinsi
Jl. Cicendo,0.425,Provinsi
Jl. Kebon Kawung,0.639,Provinsi
Jl. Pajajaran,1.650,Provinsi
Jl. H.O.S Tjokroaminoto,0.760,Provinsi
Jl. Terusan Pasir Koja,2.652,Provinsi
Jl. Peta,2.457,Provinsi
Jl. BKR,2.187,Provinsi
Jl. Pelajar Pejuang 45,1.560,Provinsi
Jl. Laswi,1.171,Provinsi
Jl. Ahmad Yani,0.535,Provinsi
Jl. W.R Supratman,1.676,Provinsi
Jl. Dipenogoro,1.369,Provinsi
Jl. Cilamaya,0.240,Provinsi
Jl. Cimandiri,0.345,Provinsi
Jl. Depan LAN,0.125,Provinsi
Jl. Cilaki,0.200,Provinsi
Jl. Aria Jipang,0.216,Provinsi
Jl. Gasibu Barat,0.205,Provinsi
Jl. Sentot Alibasyah,0.202,Provinsi
Jl. Kopo,2.000,Provinsi
Jl. Moh. Toha,1.490,Provinsi
Jl. Sukajadi,2.530,Provinsi
Jl. Setiabudi,4.980,Provinsi
Jl. Sukawangi,0.180,Provinsi
