kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Sukasari,Isola,24,16,40,33,0,1,
Sukasari,Sukarasa,54,49,103,91,0,1,
Sukasari,Gegerkalong,6,5,11,9,0,,
Sukasari,Sarijadi,15,14,29,26,0,,
Cidadap,Hegarmanah,,,,,,,
Cidadap,Ciumbuleuit,,,,,,,
Cidadap,Ledeng,,,,,,,
Sukajadi,Pasteur ,5,5,10,10,23,10,
Sukajadi,Cipedes,10,15,25,24,25,17,
Sukajadi,Sukabungah,10,5,15,15,0,6,
Sukajadi,Sukagalih,9,10,19,17,11,15,
Sukajadi,Sukawarna,5,15,20,20,0,11,
Cicendo,Husein Sastranegara,,,,,,,
Cicendo,Arjuna,,,,,,,
Cicendo,Pajajaran,,,,,,,
Cicendo,Pasirkaliki,,,,,,,
Cicendo,Pamoyanan,,,,,,,
Cicendo,Sukaraja,,,,,,,
Andir,Maleber,,,,,,,
Andir,Dungus Cariang,,,,,,,
Andir,Ciroyom,,,,,,,
Andir,Kebon Jeruk,,,,,,,
Andir,Garuda,,,,,,,
Andir,Campaka,,,,,,,
Coblong,Cipaganti,,,,,,,
Coblong,Lebak Gede,,,,,,,
Coblong,Sadang Serang,,,,,,,
Coblong,Dago,,,,,,,
Coblong,Sekeloa,,,,,,,
Coblong,Lebak Siliwangi ,565,665,1230,1230,,,
Bandung Wetan,Cihapit,0,0,0,0,0,0,
Bandung Wetan,Taman Sari,0,0,0,0,0,0,
Bandung Wetan,Citarum,0,0,0,0,0,0,
Sumur Bandung,Braga,,,,,,,
Sumur Bandung,Merdeka,,,,,,,
Sumur Bandung,Kebon Pisang,,,,,,,
Sumur Bandung,Babakan Ciamis,,,,,,,
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,
Cibeunying Kaler,Cihaurgeulis,0,0,0,0,6,26,
Cibeunying Kaler,Sukaluyu,0,5,5,5,0,22,
Cibeunying Kaler,Neglasari,45,100,145,145,3,3,
Cibeunying Kaler,Cigadung,79,45,124,124,0,10,
Astana Anyar,Karasak,,,,,,,
Astana Anyar,Nyengseret,,,,,,,
Astana Anyar,Karang Anyar,,,,,,,
Astana Anyar,Panjunan,,,,,,,
Astana Anyar,Cibadak,,,,,,,
Astana Anyar,Pelindung Hewan,,,,,,,
Bojongloa Kaler,Kopo,0,0,0,0,0,5,
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,1,0,
Bojongloa Kaler,Jamika,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,
Bojongloa Kidul,Situsaeur,,,,,,,
Bojongloa Kidul,Kebon Lega,,,,,,,
Bojongloa Kidul,Cibaduyut,,,,,,,
Bojongloa Kidul,Cibaduyut Kidul,,,,,,,
Bojongloa Kidul,Cibuduyut Wetan,,,,,,,
Bojongloa Kidul,Mekar Wangi,,,,,,,
Babakan Ciparay,Babakan,,,,,,,
Babakan Ciparay,Babakan Ciparay,,,,,,,
Babakan Ciparay,Sukahaji,,,,,,,
Babakan Ciparay,Margahayu Utara,,,,,,,
Babakan Ciparay,Margasuka,,,,,,,
Babakan Ciparay,Cirangrang,,,,,,,
Bandung Kulon,Warung Muncang,0,5,5,5,0,0,
Bandung Kulon,Cijerah,3,7,10,8,0,0,
Bandung Kulon,Cibuntu,4,9,13,10,0,0,
Bandung Kulon,Caringin,3,6,9,9,0,0,
Bandung Kulon,Cigondewah Kaler,4,11,15,13,0,0,
Bandung Kulon,Cigondewah Kidul,2,6,8,7,0,0,
Bandung Kulon,Cigondewah Rahayu,4,9,13,13,0,0,
Bandung Kulon,Gempolsari,0,5,5,5,0,0,
Regol,Pasirluyu ,,,,,,,
Regol,Ciseureuh ,,,,,31,,
Regol,Cigareleng,,,,,,,
Regol,Ancol ,,,,,,,
Regol,Pungkur,,,,,,,
Regol,Ciateul,,,,,,30,
Regol,Balong Gede ,90,,90,90,,,
Lengkong,Malabar,,,,,,,
Lengkong,Turangga,,,,,,,
Lengkong,Lingkar Selatan,,,,,,,
Lengkong,Cijagra,,,,,,,
Lengkong,Burangrang,,,,,,,
Lengkong,Paledang,,,,,,,
Lengkong,Cikawao,,,,,,,
Batununggal,Kebon Waru,51,41,92,92,2,11,
Batununggal,Kacapiring,11,2,13,11,3,55,
Batununggal,Gumuruh,16,39,16,14,4,96,
Batununggal,Kebon Gedang,4,7,14,12,3,6,
Batununggal,Samoja,0,0,0,0,4,7,
Batununggal,Cibangkong,14,21,10,9,5,55,
Batununggal,Maleer,33,7,40,33,3,8,
Batununggal,Binong,9,0,11,10,4,69,
Ujungberung,Pasir Endah,,,,,,,
Ujungberung,Cigending,,,,,,,
Ujungberung,Pasir Wangi,,,,,,,
Ujungberung,Pasirjati,,,,,,,
Ujungberung,Pasanggrahan,,,,,,,
Kiaracondong,Sukapura,0,7,7,5,1,0,swadaya
Kiaracondong,Kebon Jayanti,36,24,60,57,0,0,
Kiaracondong,Babakan Surabaya,0,0,0,0,0,0,
Kiaracondong,Cicaheum,15,5,20,11,2,0,
Kiaracondong,Babakan Sari,49,10,59,59,0,0,
Kiaracondong,Kebun Kangkung,8,10,18,15,1,0,
Arcamanik,Sukamiskin,0,50,50,49,0,0,apbd
Arcamanik,Cisaranten Bina Harapan,0,50,50,50,0,0,apbd
Arcamanik,Cisaranten Endah,0,75,75,75,0,0,apbd
Arcamanik,Cisaranten Kulon,0,75,75,75,0,0,apbd
Cibiru,Palasari,,,,,,,
Cibiru,Cipadung,,,,,,,
Cibiru,Pasir Biru,,,,,,,
Cibiru,Cisurupan (+lain2),,,,,,,
Antapani,Antapani Kulon,,,,,,,
Antapani,Antapani Wetan,0,0,0,0,0,0,
Antapani,Antapani Tengah,0,0,0,0,0,0,
Antapani,Antapani Kidul,0,0,0,0,0,35,
Rancasari,Cipamokolan,0,0,0,0,0,33,
Rancasari,Derwati,4,4,8,8,1,40,
Rancasari,Manjahlega,5,11,16,16,5,31,
Rancasari,Mekar Jaya,0,45,45,43,22,26,
Buahbatu,Sekejati,5,10,15,15,16,37,
Buahbatu,Margasari,,,,,,,
Buahbatu,Cijaura,,,,,,,
Buahbatu,Jati Sari,,,,,,,
Bandung Kidul,Batununggal,,,,,,,
Bandung Kidul,Kujangsari,2,7,9,9,2,1,
Bandung Kidul,Mengger,2,7,9,9,2,1,
Bandung Kidul,Wates,4,7,11,11,0,1,
Gedebage,Rancabolang,5,7,12,12,2,1,
Gedebage,Cimencrang,,,,,,,
Gedebage,Cisaranten Kidul,,,,,,,
Gedebage,Rancanumpang,,,,,,,
Panyileukan,Cipadung Kidul,,,,,,,
Panyileukan,Mekar Mulya ,56,113,169,161,0,17,
Panyileukan,Cipadung Wetan,0,0,0,0,0,0,
Panyileukan,Cipadung Kulon,4,3,7,5,0,0,
Cinambo,Pakemitan,27,18,45,42,4,2,
Cinambo,Sukamulya,,,,,,,
Cinambo,Cisaranten Wetan,,,,,,,
Cinambo,Babakan Penghulu,,,,,,,
Mandalajati,Jatihandap,150,40,190,,,,
Mandalajati,Karang Pamulang,,30,30,,,,
Mandalajati,Pasir Impun,,45,45,,,,
Mandalajati,Sindang Jaya,300,200,500,,,,
,,,,,,,,
