NO.,NAMA SARANA OLAH RAGA,ALAMAT,KELURAHAN,LUAS,JENIS LAPANGAN,JUMLAH LAPANGAN,LAHAN PARKIR
1,SPORT JABAR,Jl.Pacuan Kuda ,SUKAMISKIN,167.720 m2,Olah Raga Terpadu,,1000 m2
2,Golf,Jl.Pacuan Kuda ,SUKAMISKIN,498.290 m2,Golf,1,100 m2
3,GOR Embi,Gg Lio Rt.01/02,SUKAMISKIN,500 m2,Bulu tangkis,1,100 m2
4,GOR Al-Maksum,Jl.Pacuan Kuda ,SUKAMISKIN,800 m2,Tenis Lapangan,1,100 m2
5,GOR Arcamanik,Jl.Pacuan Kuda ,SUKAMISKIN,1000 m2,Bulu tangkis,4,100 m2
6,Lapangan Arcamanik Endah,Jl.Arcamanik Endah,SUKAMISKIN,700 m2,Tenis Lapangan,2,400 m2
7,GOR Cipagalo,Jl.Terusan Pesantren,SUKAMISKIN,700 m2,Bulu tangkis,2,400 m2
8,Lapangan futsal,Jl. Terusan Cipagalo,SUKAMISKIN,600 M2,Lapangan futsal,1,200 m2
1,Lapangan Futsal,Cisaranten endah RW11,CISARANTEN ENDAH,,,,
2,Lapangan Bulu Tangkis,Cisaranten endah RW11,CISARANTEN ENDAH,,,,
3,GOR Parakansaat,Cisaranten endah RW11,CISARANTEN ENDAH,,,,
4,GOR Parakansaat,Cisaranten Endah,CISARANTEN ENDAH,2000 m2,Bulu tangkis,1,2200 m2
5,GOR Serbaguna,Cisaranten Endah,CISARANTEN ENDAH,3000 m2,Bulu tangkis,1,530 m2
1,GOR,Cisaranten Kulon,CISARANTEN KULON,,Bulu Tangkis,1,900 m2
2,GOR BSD,Cisaranten Kulon,CISARANTEN KULON,800 m2,Bulu tangkis,1,
1,GOR Anugerah,Jl.Cicukang,BINA HARAPAN,215 m2,Indoor,1,40 m2
2,GOR  Pusjatan,Jl.Golf Raya,BINA HARAPAN,200 m2,Indoor,1,28 m2
3,GOR Indah Karya,Jl. Golf Raya,BINA HARAPAN,250 m2,Indoor,1,200 m2
4,Lapangan Volly,Jl. Golf Raya,BINA HARAPAN,,Tembok ,2,
5,Lapangan Tenis,Jl. Golf Raya,BINA HARAPAN,,Out Door,,
6,Lapangan Sepak Bola,Jl.Ah.Nasution,BINA HARAPAN,2 ha,Rumput,2,
